Symbol,Name,Dividend Yield,AUM ,Price Decay,Rating
LFGY,YieldMax Crypto Industry & Tech Portfolio Option Income ETF,45%,88M,YES,D
CHPY,YieldMax Semiconductor Portfolio Option Income ETF,40%,1150M,NO,B+
YMAG,YieldMax Magnificent 7 Fund of Option Income ETFs,34%,295M,YES,B-
FBY,YieldMax META Option Income Strategy ETF,36%,88M,YES,C
SOXY,YieldMax® Target 12™ Semiconductor Option Income ETF,12.0%,63M,NO,B+
IWMY,Defiance R2000 Enhanced Options & 0DTE Income ETF,30.0%,95M,YES,C-
QQQY,Definance Nasdaq 100 Enhanced Options & 0DTE Income ETF,30.0%,187M,YES,C+
SPYI,NEOS S&P 500 High Income ETF,12.04%,11680M,NO,A-
QQQI,NEOS Nasdaq 100 High Income ETF,14.0%,14100M,NO,A-
BTCI,NEOS Bitcoin High Income ETF,26.7%,1280M,YES,C-
CSHI,NEOS Enhanced Income 1-3 Month T-Bill ETF,4.7%,1740M,NO,A-
QQQH,NEOS Nasdaq 100 Hedged Equity Income ETF,9.2%,378M,NO,A-
IWMI,NEOS Russell 2000 High Income ETF,14.4%,1220M,YES,B+
IYRI,NEOS Real Estate High Income ETF,10.9%,312M,YES,B
IAUI,NEOS Gold High Income ETF,11.8%,583M,NO,B+
BNDI,NEOS Enhanced Income Aggregate Bond ETF,5.7%,192M,YES,A-
SPYH,NEOS S&P 500 Hedged Equity Income ETF,7.9%,43M,NO,B
NIHI,NEOS MSCI EAFE High Income ETF,9.9%,197M,NO,C
MLPI,MLP & Energy Infrastructure High Income ETF,14.8%,934M,NO,B+
XSPI,NEOS Boosted S&P 500 High Income ETF,17.0%,113M,NO,C
XQQI,NEOS Boosted Nasdaq-100 High Income ETF,21.0%,314M,NO,B
XBCI,NEOS Boosted Bitcoin High Income ETF,41%,158M,YES,C
DIVO,Amplify CWP Enhanced Dividend Income ETF,4.8%,7910M,NO,A
YYY,Amplify High Income ETF,12.2%,735M,YES,B-
IDVO,Amplify CWP International Enhanced Dividend Income ETF,6.0%,1430M,NO,A-
QDVO,Amplify CWP Growth & Income ETF,10.0%,744M,NO,B
GPIX,Goldman Sachs S&P 500 Premium Income ETF,7.9%,5500M,NO,A-
SCHD,Schwab U.S. Dividend Equity ETF,3.0%,112170M,NO,A+
DGRO,iShares Core Dividend Growth ETF,2.0%,43580M,NO,A+
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,1.5%,17720M,NO,A+
VIG,Vanguard Dividend Appreciation ETF,1.5%,123940M,NO,A+
VYM,Vanguard High Dividend Yield ETF,2.5%,82330M,NO,A+
SPHD,Invesco S&P 500 High Dividend Low Volatility ETF,3.6%,3429M,NO,A
FDVV,Fidelity High Dividend ETF,2.8%,10370M,NO,A
BATT,Amplify Lithium & Battery Technology ETF,2.2%,128M,NO,B+
COWS,Amplify Cash Flow Dividend Leaders ETF,3.1%,42M,NO,B+
BITY,Amplify Bitcoin 2% Monthly Option Income ETF,24.0%,12M,YES,B
BAGY,Amplify Bitcoin Max Income Covered Call ETF,37.0%,12M,YES,B-
HCOW,Amplify COWS Covered Call ETF,12.2%,18M,YES,B-
QDTE,Roundhill Innovation-100 0DTE Covered Call Strategy ETF,25.0%,945M,YES,B+
XDTE,Roundhill S&P 500 0DTE Covered Call Strategy ETF,18.0%,338M,YES,B+
YBTC,Roundhill Bitcoin Covered Call Strategy ETF,20.0%,139M,YES,B-
PLTW,Roundhill PLTR WeeklyPay ETF,40.0%,136M,YES,B-
YETH,Roundhill Ether Covered Call Strategy ETF,31.0%,62M,YES,D
COIW,Roundhill COIN WeeklyPay ETF,86.0%,41M,YES,D
RDTE,Roundhill Russell 2000 0DTE Covered Call Strategy ETF,29.0%,184M,YES,B-
WEEK,Roundhill Weekly T-Bill ETF,3.5%,183M,NO,A
MAGY,Roundhill Magnificent Seven Covered Call ETF,20.0%,105M,YES,B+
TSLW,Roundhill TSLA WeeklyPay ETF,45.0%,1M,YES,C+
GOOW,Roundhill GOOGL WeeklyPay ETF,27.0%,77M,NO,B-
TOPW,Roundhill Top Weeklypay ETF,39.0%,145M,YES,C+
ACKY,VistaShares Target 15 ACKtivist Distribution ETF,15.0%,46M,YES,B+
OMAH,VistaShares Target 15 Berkshire Select Income ETF,15.0%,1131M,YES,B+
DRKY,VistaShares Target 15™ DRUKMacro Distribution ETF,15.0%,18M,NO,B+
QUSA,VistaShares Target 15™ USA Quality Income ETF,15.0%,22M,YES,B+
SIOO,VistaShares Target 15™ S&P 100 Distribution ETF,15.0%,20M,NO,B+
XYLD,Global X S&P 500 Covered Call ETF,11.0%,3360M,YES,B
HDV,iShares Core High Dividend ETF,3.3%,15589M,NO,A+
DVY,iShares Select Dividend ETF,3.3%,23090M,NO,A+
SDY,SPDR S&P Dividend ETF,2.6%,22100M,NO,A+
BALI,iShares US Large Cap Premium Income Active ETF,7.0%,1320M,NO,A-
NOBL,ProShares S&P 500 Dividend Aristocrats ETF,2.1%,11444M,NO,A+
IDV,iShares International Select Dividend ETF,4.8%,8630M,NO,A
VYMI,Vanguard International High Dividend Yield ETF,4.0%,21740M,NO,A
SCHP,Schwab U.S. TIPS ETF,3.2%,16081M,NO,A
SCHG,Schwab U.S. Growth ETF,0.4%,62300M,NO,A-
RYLD,Global X Russell 2000 Covered Call ETF,12.2%,1360M,YES,C+
QYLD,Global X Nasdaq 100 Covered Call ETF,12.2%,8300M,YES,C+
JEPI,JPMorgan Equity Premium Income ETF,7.5%,46261M,NO,A
JEPQ,JPMorgan NASDAQ Equity Premium Income ETF,11.7%,41810M,NO,A
MAXI,Simplify Bitcoin Strategy PLUS Income ETF,9.0%,34M,YES,C+
BLOX,Nicholas Crypto Income ETF,36.0%,283M,YES,B+
GIAX,Nicholas Global Equity and Income ETF,24.0%,108M,YES,C+
SVOL,Simplify Volatility Premium ETF,20.0%,534M,YES,C-
BITO,ProShares Bitcoin ETF,61.0%,1720M,YES,C-
KQQQ,Kurv Technology Titans Select ETF,14.00%,125M,NO,A-
FEPI,REX FANG & Innovation Equity Premium Income ETF,25.2%,690M,YES,B+
AIPI,REX AI Equity Premium Income ETF,34.8%,434M,YES,B-
CEPI,REX Crypto Equity Premium Income ETF,42.6%,113M,YES,B-
NVII,REX NVDA Growth & Income ETF,34%,112M,YES,B
TSII,REX TSLA Growth And Income ETF,46%,31M,YES,C
WMTI ,REX WMT Growth And Income ETF,19%,13M,YES,C+
ULTI,REX IncomeMax Option Strategy ET,67%,21M,YES,C+
GPIQ,Goldman Sachs Nasdaq-100 Premium Income ETF,10.0%,5440M,NO,A
TSPY,TappAlpha S&P 500 Growth & Daily Income ETF,14.0%,321M,NO,B+
TDAQ,TappAlpha Innovation 100 Growth & Daily Income ETF,17.4%,328M,NO,B+
SPYT,Defiance S&P 500 Income Target ETF,21.0%,159M,YES,B-
ISPY,ProShares S&P 500 High Income ETF,10.0%,1220M,NO,B+
KGLD,Kurv Gold Enhanced Income ETF,15.6%,151M,NO,B+
TSYX,TappAlpha  TSPY LIFT ETF,20%,17M,YES,C+
TDAX,TappAlpha TDAQ LIFT ETF,24%,61M,YES,C+
FTHI,First Trust BuyWrite Income ETF,9.0%,2490M,NO,C+
BUYW,Main BuyWrite ETF,6.0%,1350M,NO,C+
XLEI,State Street Energy Select Sector SPDR Premium Income ETF ,21.0%,73M,NO,B-
VOO,Vanguard S&P 500 ETF,1.1%,1040000M,NO,A+
XLKI,State Street Technology Select Sector SPDR Premium Income ETF,19.0%,16M,NO,B-
KNG,FT Vest S&P 500 Dividend Aristocrats Target Income ETF,8%,3480M,NO,B-
OVL,Overlay Shares Large Cap Equity ETF,10.5%,437M,NO,A+
KHPI,Kensington Hedged Premium Income ETF,9.0%,426M,NO,B-
QDPL,Pacer Metaurus US Large Cap Dividend Multiplier 400 ETF,5.18%,1810M,NO,A
QSIX,Pacer Metaurus Nasdaq 100 Dividend Multiplier 600 ETF,4.65%,18M,NO,A
TYLG,Information Technology Covered Call & Growth ETF,11.0%,15M,NO,B
EGGY,NestYield Dynamic Income ETF,37.0%,158M,YES,B+
EGGS,NestYield Total Return ETF,24.0%,58M,YES,B
ODTE,ODTE  VegaShares SPX NDX RTY Premium Income ETF,14.2%,3M,NO,B+
SPCI,Tuttle Capital Space Industry Income Blast ETF,31%,11M,YES,B-
VAIE,VegaShares US Equity Autocallable Income ETF,15.0%,55M,YES,A-
ROCY,JPMorgan Equity Premium Yield ETF,8.0%,601M,NO,B
OVS,Overlay Shares Small Cap Equity ETF ,10.5%,39M,NO,A-
OVF,Overlay Shares Foreign Equity ETF ,10.4%,62M,NO,A-
ISBG,IncomeSTKd 1X Bitcoin & 1X Gold Premium ETF,17%,8M,YES,B
ISSB,IncomeSTKd 1X US Stocks & 1X Bitcoin Premium ETF,17%,2M,YES,B
TMGN,TappAlpha Cboe Magnificent 10 Growth & Daily Income ETF,21%,14M,NO,B+
SEPI,Shelton Equity Premium Income ETF,8.5%,185M,NO,B
SPUC,Simplify US Equity Income ETF,12.0%,239M,NO,B
QVOL,Infrastructure Capital Nasdaq Option Income ETF,11.0%,48M,NO,B
VFLO,VictoryShares Free Cash Flow ETF,1.3%,1121M,NO,B
FOXY,Simplify Currency Strategy ETF,8.8%,352M,NO,B
DRMP ,Tuttle Capital Memory Stack Income Blast ETF,32%,6M,YES,B
MEMY,Tuttle Capital Meme Stock Income Blast ETF,25%,1M,YES,B
IACL,GraniteShares US 100 Autocallable Income ETF,0.0%,2M,NO,B
TDVI,FT Vest Technology Dividend Target Income ETF,7.4%,576M,NO,B
EGGQ,NestYield Visionary ETF,9.50%,81M,NO,B
VOOY,XFUNDS Large Cap Income ETF,0.0%,2.6M,YES,B
WRTH,Worth Charting Options Income ETF ,9.0%,70M,NO,B
SEPQ,STF Tactical Growth & Income ETF,11.0%,80M,NO,B
